Name,Proj.,Own,Optimal,Team,Pos,Floor,Median,Ceiling,Salary
Bryan Shaw,0,0,0.01,LAA,RP,0,0,0.07,4000
David Robertson,0,0,0.01,TEX,RP,0,0,0.07,4000
Anthony Gose,0,0,0.01,CLE,RP,0,0,0.06,4000
Hernan Perez,0,0,0.01,CIN,2B/3B,0,0,0.07,2000
Shane Greene,0,0,0.01,TEX,RP,0,0,0.07,4000
Caleb Thielbar,0,0,0.01,MIN,RP,0,0,0.07,4000
Dominic Leone,0,0,0.01,CWS,RP,0,0,0.07,4000
Mike Trout,0,0,0.01,LAA,OF,0,0.01,0.07,5300
Andrew Heaney,0,0,0.01,TEX,RP,0,0,0.07,7000
Carlos Perez,0,0,0.01,CWS,C,0,0,0.07,2000
Jesse Chavez,0,0,0.01,ATL,RP,0,0,0.07,4000
Nick Martinez,0,0,0.01,CIN,RP,0,0,0.07,7600
Max Stassi,0,0,0.01,CWS,C,0,0,0.07,2800
Anthony DeSclafani,0,0,0.01,MIN,RP,0,0,0.07,7900
Charlie Morton,0,0,0.01,ATL,RP,0,0,0.06,8900
Tyler Matzek,0,0,0.01,ATL,RP,0,0,0.07,4000
Kenneth Giles,0,0,0.01,ATL,RP,0,0,0.07,4000
Jacob deGrom,0,0,0.01,TEX,RP,0,0,0.07,6900
Shelby Miller,0,0,0.01,DET,RP,0,0,0.07,4000
Max Scherzer,0,0,0.01,TEX,RP,0,0,0.07,8000
Raisel Iglesias,0,0,0.01,ATL,RP,0,0,0.07,4000
Andrew Chafin,0,0,0.01,DET,RP,0,0,0.07,4000
Jose Urena,0,0,0.01,TEX,RP,0,0,0.06,6800
Kris Bryant,0,0,0.01,COL,1B,0,0,0.07,4000
Michael Lorenzen,0,0,0.01,TEX,RP,0,0,0.07,6700
Hunter Strickland,0,0,0.01,LAA,RP,0,0,0.06,4000
Eduardo Rodriguez,0,0,0.01,ARI,RP,0,0,0.07,8600
Matt Boyd,0,0,0.01,CLE,RP,0,0,0.07,8100
Buck Farmer,0,26.43,0.01,CIN,RP,0,0,0.06,4000
Tyler Anderson,0,0,0.01,LAA,RP,0,0,0.07,7300
Frankie Montas,0,0,0.01,CIN,RP,0,0,0.07,7000
Leury Garcia,0,0,0.01,ATL,2B/OF,0,0,0.06,2000
Scott McGough,0,0,0.01,ARI,RP,0,0,0.07,4000
Jay Jackson,0,0,0.01,MIN,RP,0,0,0.06,4000
Erik Gonzalez,0,0,0.01,CIN,3B/SS,0,0,0.07,2000
Mike Clevinger,0,0,0.01,CWS,RP,0,0,0.07,6700
Rafael Ortega,0,0,0.01,CWS,OF,0,0,0.07,2000
Jose Leclerc,0,0,0.01,TEX,RP,0,0,0.07,4000
Amir Garrett,0,0,0.01,LAA,RP,0,0,0.07,4000
Robert Stephenson,0,0,0.01,LAA,RP,0,0,0.07,4000
Pierce Johnson,0,0,0.01,ATL,RP,0,0,0.07,4000
Kenta Maeda,0,0,0.01,DET,RP,0,0,0.06,6600
Matt Koch,0,0,0.01,COL,RP,0,0,0.07,4000
Ty Blach,0,0,0.01,COL,RP,0,0,0.07,5500
Steven Okert,0,0,0.01,MIN,RP,0,0,0.07,4000
Carlos Estevez,0,7.84,0.01,LAA,RP,0,0,0.07,4000
German Marquez,0,0,0.01,COL,RP,0,0,0.07,5500
Antonio Senzatela,0,0,0.01,COL,RP,0,0,0.07,5500
Austin Brice,0,0,0.01,MIN,RP,0,0,0.06,4000
Tony Kemp,0,0,0.01,MIN,2B,0,0,0.07,2000
Albert Almora,0,0,0.01,ARI,OF,0,0,0.07,2000
Chad Kuhl,0,0,0.01,CWS,RP,0,0,0.07,7500
Brock Stewart,0,0,0.01,MIN,RP,0,0,0.06,4000
Carson Fulmer,0,0,0.01,LAA,RP,0,0.01,0.07,4000
Reynaldo Lopez,0,0,0.01,ATL,RP,0,0,0.06,9200
Matt Carasiti,0,0,0.01,ATL,RP,0,0,0.07,4000
Brent Suter,0,0,0.01,CIN,RP,0,0,0.07,4000
Yoan Moncada,0,0,0.01,CWS,3B,0,0,0.07,4200
Joe Mantiply,0,0,0.01,ARI,RP,0,0,0.07,4000
Austin Pruitt,0,0,0.01,TEX,RP,0,0.01,0.07,4000
Brian Moran,0,0,0.01,ATL,RP,0,0,0.07,4000
Thyago Vieira,0,0,0.01,ARI,RP,0,0,0.07,4000
Jackson Stephens,0,0,0.01,ATL,RP,0,0,0.06,7600
Kyle Farmer,0,0,0.01,MIN,2B,0,0,0.07,2400
Sam Moll,0,0,0.01,CIN,RP,0,0,0.07,4000
Miguel Diaz,0,0,0.01,DET,RP,0,0,0.07,7600
Andrew Knapp,0,0,0.01,TEX,C,0,0,0.07,2000
Max Fried,0,0,0.01,ATL,RP,0,0,0.07,8800
Lucas Sims,0,0,0.01,CIN,RP,0,0,0.07,4000
Michael Kopech,0,0,0.01,CWS,RP,0,0,0.07,8200
Grant Holmes,0,0,0.01,ATL,RP,0,0,0.07,4000
Joe Jimenez,0,7.73,0.01,ATL,RP,0,0,0.07,4000
David Fletcher,0,0,0.01,ATL,2B,0,0,0.07,2000
Kyle Freeland,0,0,0.01,COL,RP,0,0,0.07,5500
Peter Lambert,0,0,0.01,COL,RP,0,0,0.07,5500
Mike Soroka,0,0,0.01,CWS,RP,0,0,0.06,8300
Joey Wentz,0,0,0.01,DET,RP,0,0,0.07,7600
Matt Manning,0,0,0.01,DET,RP,0,0,0.07,6900
Scott Blewett,0,0,0.01,ATL,RP,0,0,0.07,4000
Riley Pint,0,0,0.01,COL,RP,0,0,0.07,4000
Dane Dunning,0,0,0.01,TEX,RP,0,0,0.07,7100
Cal Quantrill,0,0,0.01,COL,RP,0,0,0.07,7000
Alex Kirilloff,0,0,0.01,MIN,1B/OF,0,0,0.07,3200
Cole Tucker,0,0,0.01,LAA,3B/OF,0,0,0.07,2400
Paul Sewald,0,8.69,0.01,ARI,RP,0,0,0.07,4000
Triston McKenzie,0,0,0.01,CLE,RP,0,0,0.07,8200
Dakota Hudson,0,0,0.01,COL,RP,0,0,0.07,5500
Jordan Montgomery,0,0,0.01,ARI,RP,0,0,0.07,6000
Emilio Pagan,0,0,0.01,CIN,RP,0,0,0.07,4000
John Brebbia,0,0,0.01,CWS,RP,0,0,0.07,7900
Erick Fedde,0,0,0.01,CWS,RP,0,0,0.06,8000
Tyler Beede,0,0,0.01,CLE,RP,0,0,0.06,4000
Stephen Gonsalves,0,0,0.01,COL,RP,0,0,0.07,5500
Chance Adams,0,0,0.01,COL,RP,0,0,0.07,5500
Alan Busenitz,0,0,0.01,CIN,RP,0,0,0.06,4000
Adam Kolarek,0,0,0.01,LAA,RP,0,0,0.07,4000
Aaron Bummer,0,0,0.01,ATL,RP,0,0,0.07,4000
Tyler Mahle,0,0,0.01,TEX,RP,0,0,0.06,6900
John Curtiss,0,0,0.01,COL,RP,0,0,0.07,4000
A.J. Minter,0,0,0.01,ATL,RP,0,0,0.07,4000
Chad Wallach,0,0,0.01,LAA,C,0,0,0.07,2000
Jack Flaherty,0,0,0.01,DET,RP,0,0,0.07,9300
Jalen Beeks,0,0,0.01,COL,RP,0,0,0.07,5500
Scott Barlow,0,0,0.01,CLE,RP,0,0,0.07,4000
Tyler Kinley,0,0,0.01,COL,RP,0,0,0.07,4000
Jonathan Hernandez,0,0,0.01,TEX,RP,0,0,0.07,4000
Zack Weiss,0,0,0.01,MIN,RP,0,0,0.07,4000
Austin Gomber,0,0,0.01,COL,RP,0,0,0.07,6100
Jesus Tinoco,0,0,0.01,TEX,RP,0,0,0.07,4000
Jose Castillo,0,0,0.01,ARI,RP,0,0,0.07,4000
Pablo Lopez,0,0,0.01,MIN,RP,0,0,0.06,9300
Hunter Greene,0,0,0.01,CIN,RP,0,0,0.06,9100
Tony Santillan,0,0,0.01,CIN,RP,0,0,0.07,4000
Josh Staumont,0,0,0.01,MIN,RP,0,0,0.07,4000
Ronald Acuna,0,0,0.01,ATL,OF,0,0,0.06,2000
Estevan Florial,0,0,0.01,CLE,OF,0,0,0.07,3000
Michael Chavis,0,0,0.01,CWS,1B/2B,0,0,0.07,2000
Royce Lewis,0,0,0.01,MIN,3B,0,0,0.07,5600
Bubba Thompson,0,0,0.01,CIN,OF,0,0,0.07,2000
Andrew Velazquez,0,0,0.01,ATL,2B/3B,0,0,0.07,2000
Ryan Vilade,0,0,0.01,DET,OF,0,0,0.07,2000
Conner Capel,0,0,0.01,CIN,OF,0,0,0.07,2200
Pavin Smith,0,0,0.01,ARI,OF,0,0,0.06,3200
Sandro Fabian,0,0,0.01,TEX,OF,0,0,0.07,2000
Alex Lange,0,0,0.01,DET,RP,0,0,0.07,4000
Logan Allen,0,0,0.01,ARI,RP,0,0,0.07,6000
Hans Crouse,0,0,0.01,LAA,RP,0,0,0.07,4000
Chris Rodriguez,0,0,0.01,ARI,RP,0,0,0.07,4000
Griffin Canning,0,0,0.01,LAA,RP,0,0,0.07,7300
Shane Bieber,0,0,0.01,CLE,RP,0,0,0.07,10000
Alex Faedo,0,0,0.01,DET,RP,0,0,0.07,7500
Adam Cimber,0,0,0.01,LAA,RP,0,0,0.07,4000
Alex Young,0,0,0.01,CIN,RP,0,0,0.07,4000
Justin Anderson,0,0,0.01,CWS,RP,0,0,0.06,4000
Wes Parsons,0,0,0.01,CLE,RP,0,0,0.07,4000
Trey Wingenter,0,0,0.01,DET,RP,0,0,0.07,4000
Brett Kennedy,0,0,0.01,CIN,RP,0,0,0.07,7600
Touki Toussaint,0,0,0.01,CWS,RP,0,0,0.06,8400
Josh Rogers,0,0,0.01,COL,RP,0,0,0.07,5500
Andrew Vasquez,0,0,0.01,DET,RP,0,0,0.07,4000
Jeff Brigham,0,0,0.01,MIN,RP,0,0,0.06,4000
Myles Straw,0,0,0.01,CLE,OF,0,0,0.06,2000
Pedro Avila,0,0,0.01,CLE,RP,0,0,0.07,8600
Brock Burke,0,0,0.01,TEX,RP,0,0,0.07,4000
Ian Gibaut,0,0,0.01,CIN,RP,0,0,0.07,4000
Huascar Ynoa,0,0,0.01,ATL,RP,0,0,0.07,7900
Jose Quijada,0,0,0.01,LAA,RP,0,0,0.06,4000
Jose Suarez,0,0,0.01,LAA,RP,0,0,0.07,6600
Jimmy Herget,0,0,0.01,ATL,RP,0,0,0.06,4000
Sam Hentges,0,0,0.01,CLE,RP,0,0,0.07,8600
Justin Lawrence,0,0,0.01,COL,RP,0,0,0.07,4000
Josh Sborz,0,0,0.01,TEX,RP,0,0,0.06,4000
Merrill Kelly,0,0,0.01,ARI,RP,0,0,0.07,8200
Geoff Hartlieb,0,0,0.01,COL,RP,0,0,0.07,4000
Jesse Scholtens,0,0,0.01,CWS,RP,0,0,0.07,8400
Nabil Crismatt,0,0,0.01,TEX,RP,0,0,0.07,4000
Jimmy Lambert,0,0,0.01,CWS,RP,0,0,0.07,4000
Zac Gallen,0,0,0.01,ARI,RP,0,0,0.07,8800
Dylan Lee,0,0,0.01,ATL,RP,0,0,0.07,4000
Trevor Stephan,0,0,0.01,CLE,RP,0,0,0.07,8700
Angel Perdomo,0,0,0.01,ATL,RP,0,0,0.07,4000
Jared Walsh,0,0,0.01,CWS,1B,0,0,0.07,3200
Kevin Ginkel,0,15.87,0.01,ARI,RP,0,0,0.07,4000
Ben Bowden,0,0,0.01,ATL,RP,0,0,0.07,4000
Jose Cisnero,0,0,0.01,LAA,RP,0,0,0.07,4000
Casey Mize,0,0,0.01,DET,RP,0,0,0.07,7400
Alex De Goti,0,0,0.01,TEX,2B/SS,0,0,0.07,2000
Chuckie Robinson,0,0,0.01,CWS,C,0,0,0.07,2000
Sebastian Rivero,0,0,0.01,ATL,C,0,0,0.07,2000
Kyle Garlick,0,0,0.01,ARI,OF,0,0,0.07,2000
Jameson Hannah,0,0,0.01,COL,OF,0,0,0.07,2000
Elehuris Montero,0,0,0.01,COL,1B,0,0,0.07,2700
Jordyn Adams,0,0,0.01,LAA,OF,0,0,0.06,2000
Jack Lopez,0,0,0.01,LAA,2B,0,0,0.07,2000
Travis MacGregor,0,0,0.01,LAA,RP,0,0,0.06,4000
Julio Pablo Martinez,0,0,0.01,ATL,OF,0,0,0.07,2000
Zach Plesac,0,0,0.01,LAA,RP,0,0,0.06,7300
Emmanuel Clase,0,0,0.01,CLE,RP,0,0,0.07,4000
Patrick Sandoval,0,0,0.01,LAA,RP,0,0,0.07,7400
James Karinchak,0,0,0.01,CLE,RP,0,0,0.07,4000
Jorge Alcala,0,0,0.01,MIN,RP,0,0,0.07,4000
Blake Taylor,0,0,0.01,TEX,RP,0,0,0.07,4000
Jhoan Duran,0,0,0.01,MIN,RP,0,0,0.07,4000
Matt Foster,0,0,0.01,CWS,RP,0,0,0.07,4000
Deivi Garcia,0,0,0.01,CWS,RP,0,0,0.07,4000
Tejay Antone,0,0,0.01,CIN,RP,0,0,0.07,7600
Mark Payton,0,0,0.01,CWS,OF,0,0,0.06,2000
Chadwick Tromp,0,0,0.01,ATL,C,0,0,0.07,2800
Nick Lodolo,0,0,0.01,CIN,RP,0,0,0.07,8800
Steven Wilson,0,26.74,0.01,CWS,RP,0,0,0.07,8400
Tarik Skubal,0,0,0.01,DET,RP,0,0,0.07,10100
Nick Mears,0,0,0.01,COL,RP,0,0,0.06,4000
Joe Barlow,0,0,0.01,CWS,RP,0,0,0.07,4000
Sam Huff,0,0,0.01,TEX,C,0,0,0.07,2000
Braden Shewmake,0,0,0.01,CWS,2B/3B,0,0,0.07,2600
Cristian Santana,0,0,0.01,DET,SS,0,0,0.07,2000
Darren McCaughan,0,0,0.01,CLE,RP,0,0,0.07,4000
Joe Ryan,0,0,0.01,MIN,RP,0,0,0.07,9800
Ryan Thompson,0,26.97,0.01,ARI,RP,0,0,0.07,4000
